Sr. No,Study No.,Study Title,Principle Investigator,Current Status,Publication 
95,2020,A retrospective study of antimicrobial susceptibility pattern of Streptococcus pneumoniae over the period of 2 yrs at tertiary care hospital in North Mumbai.,Ms.Rutuja Darne,Completed,No
96,2020,Retrospective study of incidence of needle sticks and sharps injuries among healthcare workers in a tertiary care hospital of North Mumbai.,Ms.Trupti Carval,Ongoing,No
97,2020,"Culture & Sensitivity Pattern Of Aerobic Bacterial isolates in Diabetic Foot Infections, in a Suburban Tertiary Care Hospital In Mumbai – Retrospective study.",Dr.Sarang Degloorkar,Completed,Yes
98,2020,"Prospective , single center ,observational study on evaluation of use of hydroxy chloroquine as for prophylaxis of SARS- CoV-2 infection in , “health care workers” , in tertiary care center .",Dr.Dhaval Dalal,Completed,Yes
99,2020,Single centre interventional study of coping mechanisms in type 2 diabetes mellitus(T2DM) patients in suburban population and interventions to improve coping in T2DM,Ms.Bindumal Mathew,Ongoing,No
100,2020,"Prospective single center interventional Study evaluating integrated and independent effects of yoga, spiritual counseling (and cow cuddling 1* as an HAI –human animal intervention) on human psychological health and immune status   in the view of recent covid 19 pandemic.",Dr.Snehal Donde,Completed,No
101,2020,"A Prospective, observational study, to analyse the psychological effects of Covid-19 pandemic",Dr.Dhaval Dalal,Completed,Yes
102,2020,"Prospective, single center, observational study on evaluation of use of Homeopathic medicine Arsenic Album for prophylaxis of SARS-CoV-2 infection in “health care workers” and their family members, in tertiary care center",Dr.Kirti Mutreja,Completed,No
103,2020,"Prospective , single center ,open label, randomized controlled  , pilot study on evaluation of use of , “AYURCOV” as an adjuvant  for prophylaxis and treatment purpose in frontline health care workers involved in treating COVID-19 patients and contacts of COVID-19 patients and treatment of SARS-CoV-2 infection for covid-19 patients  , at tertiary care center.",Dr.Nanasaheb Memane,Completed,Yes
104,2020,"Retrospective , single center , observational study to evaluate treatment outcome of evaluation of COVID-19 patients, at dedicated covid hospital",Dr Prafulla Samant,Completed,Yes
105,2020,"Retrospective, single center, observational study on evaluation of use of combination of hydroxy chloroquine & Vit D-3 for prophylaxis of SARS-CoV-2 infection in , “health care workers” , at dedicated covid hospital  .",Dr Prafulla Samant,Completed,Yes
108,2020,A cross sectional questionnaire based survey to assess anxiety & stress due to COVID-19 pandemic on medical & paramedical staff.,Dr.Gunjan Ramteke,Completed,Yes
109,2020,Retrospective multicenter study on clinical utility of comprehensive genomic profiling in cancer care,Dr.Nirmal Raut,Completed,No
110,2020,"A Prospective, interventional , single centre, cohort  study, to analyse effect of sound vibrations of , “Hare Krishna Mahamantra” on psychological well-being , of admitted Covid-19  patients at Dedicated Covid Hospital .",Dr.Ajay Sankhe,Completed,Yes
111,2020,"Retrospective analysis of clinical experience in treatment of asymptomatic, suspected, symptomatic, and clinically stable patients of covid 19 with standalone and adjuvant Homeopathy",Dr.Kirti Mutreja,Completed,No
112,2020,Cough based Artificial Intelligence Screening Tool for COVID-19 Disease.,Dr.Ajay Sankhe,Completed,No
113,2020,A retrospective study of performance of SARS-CoV-2 detection using different primer/probe assays.,Ms.Veda Devkumar,Completed,No
115,2020,"Prospective, single centre, study to find the association between Covid - 19 disease and constitutional nature of a person i.e. Specific Prakriti with traditional nadipariksha and Veda pulse an integrated instrument.",Dr.Sonal  Memane,Ongoing,No
116,2020,Retrospective single center observational study of Efficacy/ Role of prophylactic antibiotics in Dilatation and curettage management .,Dr.Kamalpriya Thiyagarajan,Completed,Yes
117,2020,"Prospective , multi center ,single blind , randomized controlled  study on evaluation of use of , “AyurCoro3” as an adjuvant  for the treatment purpose in mild to moderate COVID-19 patients at tertiary care center.",Dr.Nanasaheb Memane,Completed,Yes
118,2020,"Prospective , multi center ,open label,  pilot study on evaluation of use of , “AyurCoro-3” for prophylaxis purpose in frontline health care workers involved in treating COVID-19 patients.",Dr.Nanasaheb Memane,Completed,Yes
119,2020,"Prospective, single center, open label, observational study with matched control to evaluate the effect of Homeopathic medicines in treating thrombocytopenia associated with dengue in a tertiary care hospital practicing Integrated Medicine.",Dr.Gourish Shettey,Ongoing,No
120,2020,Retrospective prescription event monitoring study of EMROK & /or EMROK-O (Levonadifloxacin),Dr.Ankit Mody,Withdrawn by PI,NA
121,2020,Infection prevention and control practices in COVID pandemic and measures taken to prevent transmission of SARS-CoV-2 at tertiary care hospital in North Mumbai- A retrospective single centre study,Dr.Kinjal Patel,Completed,Yes
122,2020,Prospective study of feeding behaviour in full term neonates born to diabetic mothers in comparision to full term neonates born to non diabetic mothers.,Dr.Janhavi Shah,Ongoing,No
123,2020,"Assessment of nutritional status in patients on haemodialysis using handgrip strength - A prospective,  observational study in Indian Population.",Dr.Makbool Ali,Ongoing,No
124,2020,"Predicting the outcome of patients with COVID-19 using a composite scoring system based on CT and laboratory parameters - a prospective, observational study.",Dr.Rakeshkumar Gurjar,Withdrawn by PI,NA
125,2021,"Retrospective, single center, observational study to analyze and correlate trend of Diabetes mellitus over last 5 years at tertiary care center.",Dr.Dhaval Dalal,Completed,Yes
126,2021,"Retrospective, single center, observational research project  to study prevalence  of Septicemia over last 5 years at tertiary care center.",Dr.Dhaval Dalal,Completed,Yes
127,2021,Impact of Cardiopulmonary Rehabilitation in recovery of COVID-19 patients- Retrospective study,Dr.Nayana Gosavi,Completed,Yes
128,2021,Impact Of Nutritional Food Supplementation And Nutrition Education In Treating Malnutrition In Anganwadi Children,Dr.Ajay Sankhe,Ongoing,No
129,2021,Retro-prospective data analysis among the Covid tested population and the post covid effects among the positive patients in Mumbai suburbs.,Dr.Balkrishnan,Withdrawn by PI,NA
130,2021,A retrospective study on compliance of extended use and limited reuse of N95 filtering face piece respirators at tertiary care hospital,Dr.Kinjal Patel,Completed,Yes
131,2021,Epidemiology of an outbreak caused by Carbapenem resistant Acinetobacter baumannii  complex in Intensive care unit of a tertiary care hospital in North Mumbai- a retrospective study,Dr.Kinjal Patel,Completed,Yes
132,2021,"A retrospective , observational study, to analyse the effect of  Covid-19 counselling training  session  intervention on generalized anxiety amongst health care workers .",Dr.Dhaval Dalal,Completed,Yes
133,2021,Assessment of Clinical Outcome of Platelet Rich Plasma (PRP) Injection in Progression of Mild to Moderate Osteoarthritis Patients. A Retrospective Study.,Dr.Girish Rathod,Completed,Yes
134,2021,An initiative for complete Hepatitis B vaccination course of all the dentists in Maharashtra- A unique Hepatitis B vaccination drive.,Dr.Shrirang Sevekar,Withdrawn by PI,NA
135,2021,Retrospective comparison of total corneal refractive power pre- and post-operatively in patients undergoing Femto Laser Assisted Cataract Surgery with Limbal Relaxing Incisions.,Dr.Abhijeet Desai,Ongoing,No
136,2021,"Prospective, single center, observational study to assess clinical and radiological outcome of Inter-Trochanteric fractures treated with Proximal Femoral Nail A2.",Dr.Girish Rathod,Ongoing,No
137,2021,"Prospective, single center, computed tomography based observational study of morphometric analysis of odontoid process of second cervical vertebrae at a tertiary care center.",Dr.Girish Rathod,Ongoing,No
138,2021,Role of Compliance of preventive and maintenance inhaled medication in the management of obstructive airway disease in urban Indian setting a prospective observational study.,Dr.Rakeshkumar Gurjar,Completed,Yes
139,2021,"A Prospective study to evaluate symptoms, post covid vaccine administration.",Dr.Gunjan Ramteke,Ongoing,No
140,2021,Comparison of endothelial cell loss in viscoless phacoemulsification versus soft shell technique of phacoemulsification. -A Retrospective Study,Dr.Abhijeet Desai,Ongoing,No
141,2021,A retrospective study to understand the epidemiology of orthopaedic problems among patients of the Orthopaedic Out patient department at a tertiary care center.,Dr.Girish Rathod,Completed,Yes
142,2021,Energy Efficient chop:A modified technique of nucleus chopping,Dr.Abhijeet Desai,Completed,Yes
143,2021,"Retrospective, single center, interventional study of analysis of functional outcome of additional Dorsal K-wire in distal radius fracture along with Radial styloid K wires.",Dr.Girish Rathod,Ongoing,No
144,2021,"Prospective, multi center, observational, study on evaluation of use of, “AyurCoro3” as an adjuvant for the treatment purpose in mild to moderate COVID-19 patients at tertiary care center.",Dr.Nanasaheb Memane,Completed,Yes
145,2021,A retrospective study to analyze the causes of missed abortion among patients of the gynecology Out patient department at a tertiary care center.,Dr.Kamalpriya Thiyagarajan,Ongoing,No
146,2021,"Maternal and foetal outcome in twin pregnancy, a retrospective, single center, cohort, observational study in Indian scenario.",Dr.Vaishali Choudhary,Completed,Yes
147,2021,An observational study to understand the clinical significance of presence of Circulating Tumor Cells (CTC) in High Grade Serous Ovarian Carcinoma (Grade III/IV). Acronym OVACTC.,Dr.Nirmal Raut,Ongoing,No
148,2021,A prospective study to understand the prevalence of PCOS and analyze its causes among patients of the gynecology Out patient department at a tertiary care center.,Dr.Kamalpriya Thiyagarajan,Completed,No
149,2021,A prospective study to understand the epidemiology of gynecological problems among patients of the gynecology Out patient department at a tertiary care center.,Dr.Kamalpriya Thiyagarajan,Completed,Yes
150,2021,"Retrospective single center study, evaluating prevalence of anaemia among men and women, based on haemoglobin and packed cell volume concentration, at tertiary care centre in India.",Dr.Dhaval Dalal,Completed,Yes
151,2021,"Retrospective, single center, observational, study on evaluation of efficacy and safety profile of “AyurCoro3” by analyzing, feedback data in Ayurveda DeptDr.Nanasaheb Memane Completed Yes 152 HRCT guided anatomico-pathophysiological scoring system of pulmonary manifestations of Covid-19.Dr.Dhaval Dalal Completed Yes 153 Prospective, single center study to analyze role of sodium channel blockers in patients with p rolapsed intervertebral disc (PIVD) with acute sciatica.",Dr.Nitin Raut,Ongoing,No
154,2021,Comparison of DIPSI and IADPSG criteria for diagnosis of GDM (gestational diabetes mellitus) – a prospective study in a sub-urban multi-speciality hospital.,Dr.Yogini Patil,Completed,Yes
155,2021,Co-relation between MRI and Arthroscopy findings in diagnosis of meniscus injuries based on location of the meniscus tear and pattern of the meniscus tear,Dr.Chandan Shetty,Completed,Yes
